feature,ks_train_val,ks_train_test
funding_rate,0.19319370735313668,0.48863580446666804
rvol_24h,0.21034901009892054,0.25509206600787926
range_24h,0.1930459364743432,0.2189526720821653
taker_buy_frac_1h,0.17110090498748917,0.16862202324217057
oi_chg_4h,0.09608850834585314,0.12586193700076154
ret_24h,0.057870403797489936,0.08523995151537034
vol_ratio_24h,0.09020097205193045,0.08178171779803284
close_vs_sma24,0.049846589111022827,0.07983219573935263
ret_1h,0.04388991744913179,0.05824377213209042
rsi_14,0.0287789476834297,0.05011276759860933
