feature,mean_label_-1,mean_label_0,mean_label_1
ret_1h,-0.0048297501797931785,8.638446673373416e-05,-0.0010542308723253365
ret_24h,-0.02875385006071798,0.0014538704697640529,-0.024830438882744672
close_vs_sma24,-0.01749957875896687,0.0007790264323296479,-0.011060029897193001
rvol_24h,0.011998778739412885,0.0057243344022163386,0.012827641759868457
range_24h,0.11056001147880595,0.04728790681782162,0.11837262751290487
vol_ratio_24h,1.4964169098020534,1.0134346116039858,1.3386332824360176
rsi_14,43.708029867253394,50.82439032520233,48.42554221851132
taker_buy_frac_1h,0.4843096256567158,0.4909890069121875,0.49446763376387654
oi_chg_4h,-0.005493508555628134,0.00038012327089740326,0.0018857933354455671
funding_rate,0.00028599197411003236,0.00012436120936504749,0.0001490150738916256
