,count,mean,std,min,25%,50%,75%,max
ret_1d,1060.0,0.0011137834801363395,0.027164257956695716,-0.16699764123151092,-0.010969100459844826,-0.00010381537450296843,0.013419196923711497,0.11228735091416127
ret_5d,1060.0,0.0054111918276319795,0.061774917916092166,-0.3316593710164888,-0.024178335691704637,0.002977088407461039,0.038202899674545474,0.21945417927762045
ret_20d,1060.0,0.02109437205133298,0.12454613256760455,-0.44040789454444723,-0.04647487943392263,0.011379684912539734,0.09230677225304425,0.3666474244517627
rsi_14,1060.0,53.093256960288436,13.421876054488548,18.63552419387067,43.9854736681591,51.62971375362109,61.63085592568848,89.39831589644338
macd_hist,1060.0,13.370289908329118,440.4588887672168,-1438.3683595555565,-199.1253640942851,1.9345512012695991,197.4568544217238,1865.8170766914177
natr_14,1060.0,3.930678488669912,1.1831161335746743,1.7260104216654932,3.141304177586246,3.6877915022917467,4.519701908005171,10.59737411599246
bb_position,1060.0,0.08400302636558073,0.6458181543544644,-1.6973366162612233,-0.41067826456611956,0.08973898305825645,0.5891584148745144,1.5543443693251078
mvrv_zscore,1060.0,1.1719480188679245,1.0135921217896064,-0.3599,0.2789,1.15165,1.9612,3.3543
nupl,1060.0,0.3238945283018868,0.24972629925656936,-0.3168,0.16655,0.43335,0.5259750000000001,0.6402
nvt,1060.0,190.34155660377357,44.076979312537404,74.42,165.155,193.065,216.95,312.57
puell,1060.0,1.027909433962264,0.3808743374288436,0.347,0.731,1.041,1.2542499999999999,2.434
sopr,1060.0,1.0064474528301888,0.017808478079914536,0.871,0.998175,1.00415,1.011925,1.1728
ntv_ratio,1060.0,-0.003766971470549025,0.024112469257814968,-0.08421387513660529,-0.0190491079008653,-0.0041654582067464285,0.011392280904353465,0.0710167114598233
funding_rate,1060.0,7.33769968553459e-05,8.852249015766663e-05,-0.00084986,2.7685e-05,6.7005e-05,0.0001,0.00073359
cot_net_frac,1060.0,-0.5821466140425092,0.20777871294919617,-0.8979060835088589,-0.759013496747998,-0.6141049112473136,-0.46375413450937153,-0.09185082872928177
dvol,1060.0,57.66790566037736,12.893408954828633,32.38,50.0425,55.7,62.3275,119.65
month_sin,1060.0,-0.017005924001536644,0.713549855365648,-1.0,-0.8660254037844384,-2.4492935982947064e-16,0.8660254037844386,1.0
month_cos,1060.0,0.028696777629284933,0.700483499990634,-1.0,-0.5000000000000004,6.123233995736766e-17,0.8660254037844384,1.0
weekday,1060.0,3.0018867924528303,2.003301389092099,0.0,1.0,3.0,5.0,6.0
y_logret_fwd1,1060.0,0.0011563583899335387,0.02716147951151441,-0.16699764123151092,-0.010925473996969071,-7.862241702334441e-05,0.013476236361918312,0.11228735091416127
