feature,mean_abs_shap
nupl,0.007936090412078187
cot_net_frac,0.007055669059248863
rsi_14,0.0050539459273210175
ret_1d,0.0028118378378572282
puell,0.0025783057669367193
ret_20d,0.002386685839153218
month_sin,0.0022672498619045484
ntv_ratio,0.002120909827566123
bb_position,0.0018204571349807472
nvt,0.0017853887777817521
natr_14,0.0014124986528549004
mvrv_zscore,0.0011781901039273326
weekday,0.0010269140712048288
dvol,0.0007920610704459644
macd_hist,0.0007022366813479962
ret_5d,0.0006254254671806221
funding_rate,0.0005993189523203279
month_cos,0.0005385632842546296
sopr,0.00011122860586241732
