model,split,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_-1,recall_-1,f1_-1,support_-1,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,extreme_precision,extreme_recall,extreme_f1,log_loss,extreme_pr_auc,brier
logistic,train,35365,0.7983882369574438,0.5926520466472093,0.3552083981271545,0.5926520466472093,0.339457121835358,0.8772886576909554,0.13972870793322287,0.04342653182629387,0.47249190938511326,0.07954235903023699,309,0.9960849912802079,0.8030011763693226,0.8891818903891978,34853,0.026113671274961597,0.5024630541871922,0.04964711608663908,203,0.05531095211887727,0.78515625,0.10334190231362468,0.7024763901598673,0.18310217308471521,0.3509248571914451
logistic,val,7578,0.886381631037213,0.48154038730579485,0.33962995192838835,0.48154038730579485,0.3269102414491997,0.9363444952635535,0.0698422093032746,0.010126582278481013,0.2222222222222222,0.01937046004842615,18,0.9979172865218685,0.8890656063618291,0.9403518609378285,7545,0.010845986984815618,0.3333333333333333,0.02100840336134454,15,0.02219626168224299,0.5757575757575758,0.04274465691788527,0.4949793866613969,0.10352062426991901,0.23727645222867505
random_forest,train,35365,0.9980489184221688,0.9993400855019653,0.9201289398280803,0.9993400855019653,0.9571840690710305,0.9981096645758329,0.9380388282397674,0.8853868194842407,1.0,0.939209726443769,309,1.0,0.9980202565058962,0.9990091474359895,34853,0.875,1.0,0.9333333333333333,203,0.8812392426850258,1.0,0.9368709972552608,0.044903898038170034,0.8961974820619579,0.012973042798758109
random_forest,val,7578,0.9953813671153339,0.33324497459686325,0.33188137979584653,0.33324497459686325,0.3325617794237595,0.9933407069486402,-0.0008054413983434582,0.0,0.0,0.0,18,0.9956441393875396,0.9997349237905898,0.9976853382712784,7545,0.0,0.0,0.0,15,0.0,0.0,0.0,0.043043528991221554,0.03690758317650271,0.011098212657455139
xgboost,train,35365,0.9557189311466139,0.9850228100880841,0.5113927313718466,0.9850228100880841,0.60487404020203,0.968737671612045,0.48797655962945047,0.21398891966759004,1.0,0.3525385054192812,309,1.0,0.9550684302642527,0.9770179043146463,34853,0.32018927444794953,1.0,0.4850657108721625,203,0.24639076034648702,1.0,0.39536679536679536,0.17458176177865797,0.8380421037355648,0.08108522632536899
xgboost,val,7578,0.9829770387965162,0.3475664531330535,0.3363820422948251,0.3475664531330535,0.3376076304748794,0.9872789363458279,0.02924637910923588,0.013157894736842105,0.05555555555555555,0.02127659574468085,18,0.9959882321476331,0.987143803843605,0.9915462956799574,7545,0.0,0.0,0.0,15,0.03,0.09090909090909091,0.045112781954887216,0.08745339180393057,0.03148771319385196,0.033666586323660784
lightgbm,train,35365,0.9928177576700127,0.9975707495289741,0.7937192982456139,0.9975707495289741,0.8753068321849847,0.9935618224285925,0.8153221417034501,0.618,1.0,0.7639060568603214,309,1.0,0.9927122485869222,0.996342797903588,34853,0.7631578947368421,1.0,0.8656716417910447,203,0.6684073107049608,1.0,0.8012519561815337,0.042315192904905936,0.9978821796447065,0.015500386736086676
lightgbm,val,7578,0.994061757719715,0.33280318091451294,0.3318794607454401,0.33280318091451294,0.3323406789755807,0.9926802940897689,-0.0020139517835434826,0.0,0.0,0.0,18,0.9956383822363204,0.9984095427435388,0.9970220369267421,7545,0.0,0.0,0.0,15,0.0,0.0,0.0,0.03587303645906965,0.02825011376654268,0.012115209009510939
mlp,train,35365,0.7703944577972571,0.564695072885919,0.36349912936749446,0.564695072885919,0.3394959681642582,0.8608251112348978,0.12373020413371491,0.07444168734491315,0.1941747572815534,0.10762331838565023,309,0.9962417096536478,0.7757725303417209,0.8722920329714645,34853,0.01981399110392236,0.7241379310344828,0.03857255313565993,203,0.04984802431610942,0.80078125,0.09385372553508069,0.8465856717059302,0.20761819518173313,0.46656110312227156
mlp,val,7578,0.9012932172077065,0.49394006332376117,0.34188166357884625,0.49394006332376117,0.3329974252295858,0.9447893684450327,0.0842384061701791,0.016129032258064516,0.1111111111111111,0.028169014084507043,18,0.9982438167715498,0.9040424121935057,0.9488106829878982,7545,0.011272141706924315,0.4666666666666667,0.0220125786163522,15,0.028187919463087248,0.6363636363636364,0.05398457583547558,0.655245686182586,0.04464163704393549,0.34507635262572134
lstm,train,35001,0.8356046970086569,0.6767175752911337,0.36509627959185514,0.6767175752911337,0.364491921832065,0.8993097871338638,0.17527937432664129,0.05788485607008761,0.6146179401993356,0.10580497569345153,301,0.9962831675671955,0.8390041734291677,0.9109044854549173,34504,0.04112081513828239,0.576530612244898,0.07676630434782608,196,0.06544414535666218,0.7826961770623743,0.1207886974072349,0.5018318062882846,0.21866960998127496,0.2541361153125763
lstm,val,7555,0.9126406353408338,0.45704550602184213,0.34034660126565125,0.45704550602184213,0.33310215482390026,0.9508025491049577,0.07315226172784411,0.02005730659025788,0.3888888888888889,0.03814713896457766,18,0.9976821671736926,0.9155809625099708,0.9548700173310225,7522,0.0033003300330033004,0.06666666666666667,0.006289308176100629,15,0.02607361963190184,0.5151515151515151,0.049635036496350364,0.3286888640641769,0.025805187959968178,0.153935506939888
