feature,f_score,mutual_info,f_rank,mi_rank,avg_rank
weekday,2.139153758251153,0.06356014299455248,2,2,2.0
ret_1d,1.0053168018271914,0.07444175032682976,4,1,2.5
month_sin,0.8907251252129325,0.04720570223743925,5,5,5.0
month_cos,1.6934271578433922,0.02096698034275679,3,8,5.5
rsi_14,0.3077709903311219,0.02774061811768247,8,6,7.0
nvt,0.4832215475225944,0.01738338673760831,6,9,7.5
mvrv_zscore,0.15398862809382605,0.025203843720650543,10,7,8.5
puell,4.078096244645346,0.0,1,16,8.5
ret_5d,0.029801610872078273,0.05743123625887714,15,3,9.0
ntv_ratio,0.35099561737773705,0.0034031364462356883,7,12,9.5
dvol,0.016512692630772423,0.050139048419524546,17,4,10.5
bb_position,0.051157519389678524,0.014068786880759188,14,10,12.0
sopr,0.29052808119007156,0.0,9,16,12.5
natr_14,0.022928036929268883,0.012989468899986978,16,11,13.5
cot_net_frac,0.14046863822245137,0.0,11,16,13.5
ret_20d,0.07129341331382241,0.0,12,16,14.0
nupl,0.05668769778900952,0.0,13,16,14.5
macd_hist,0.014847763619079545,0.0,18,16,17.0
funding_rate,0.0021346660984063004,0.0,19,16,17.5
