,date,underlying,total_calls_oi,total_puts_oi
0,2023-10-23,BTCUSDT,6816.85,5561.95
1,2023-10-22,BTCUSDT,6255.37,5129.39
2,2023-10-21,BTCUSDT,6199.53,5059.13
3,2023-10-20,BTCUSDT,6103.66,4746.51
4,2023-10-19,BTCUSDT,7001.21,6193.16
5,2023-10-18,BTCUSDT,6785.06,5773.08
6,2023-10-17,BTCUSDT,6620.17,5191.86
7,2023-10-16,BTCUSDT,6457.32,4993.56
8,2023-10-15,BTCUSDT,6332.98,5067.92
9,2023-10-14,BTCUSDT,6778.44,5441.37
10,2023-10-13,BTCUSDT,8166.9,6692.16
11,2023-10-12,BTCUSDT,8252.07,5905.53
12,2023-10-11,BTCUSDT,7834.05,5816.84
13,2023-10-10,BTCUSDT,7389.33,5476.49
14,2023-10-09,BTCUSDT,7169.62,5025.54
15,2023-10-08,BTCUSDT,5719.04,3931.27
16,2023-10-07,BTCUSDT,5710.8,3843.2
17,2023-10-06,BTCUSDT,6976.55,5495.55
18,2023-10-05,BTCUSDT,6471.88,5141.88
19,2023-10-04,BTCUSDT,6241.68,4521.13
20,2023-10-03,BTCUSDT,5949.25,4175.31
21,2023-10-02,BTCUSDT,5504.6,3693.35
22,2023-10-01,BTCUSDT,5191.17,3388.35
23,2023-09-30,BTCUSDT,5097.29,3315.27
24,2023-09-29,BTCUSDT,5033.24,3304.63
25,2023-09-28,BTCUSDT,7079.56,5918.35
26,2023-09-27,BTCUSDT,6348.82,5072.6
27,2023-09-26,BTCUSDT,5874.11,4622.99
28,2023-09-24,BTCUSDT,5874.97,4425.15
29,2023-09-23,BTCUSDT,6039.61,4810.43
30,2023-09-22,BTCUSDT,7088.03,6300.95
31,2023-09-21,BTCUSDT,6950.71,6166.26
32,2023-09-20,BTCUSDT,6863.24,6288.36
33,2023-09-19,BTCUSDT,6476.46,5613.07
34,2023-09-07,BTCUSDT,6012.38,4586.46
35,2023-09-06,BTCUSDT,5830.85,4535.8
36,2023-09-05,BTCUSDT,5350.36,4360.77
37,2023-09-04,BTCUSDT,5170.5,4132.05
38,2023-09-03,BTCUSDT,4989.73,4138.81
39,2023-09-02,BTCUSDT,5256.54,4211.37
40,2023-09-01,BTCUSDT,5202.52,3926.61
41,2023-08-31,BTCUSDT,5524.59,4930.59
42,2023-08-30,BTCUSDT,5372.03,4914.41
43,2023-08-29,BTCUSDT,2736.28,2372.55
44,2023-08-28,BTCUSDT,2606.35,2228.56
45,2023-08-27,BTCUSDT,2527.24,2213.37
46,2023-08-26,BTCUSDT,2503.5,2207.52
47,2023-08-25,BTCUSDT,2492.95,2154.4
48,2023-08-24,BTCUSDT,4341.43,3848.84
49,2023-08-23,BTCUSDT,4181.25,3547.36
50,2023-08-22,BTCUSDT,3944.04,3188.38
51,2023-08-21,BTCUSDT,3782.42,3154.9
52,2023-08-20,BTCUSDT,3741.11,3163.58
53,2023-08-19,BTCUSDT,3651.0,3134.56
54,2023-08-18,BTCUSDT,3545.55,3209.44
55,2023-08-17,BTCUSDT,4915.37,3892.88
56,2023-08-16,BTCUSDT,3903.14,3373.12
57,2023-08-15,BTCUSDT,3625.29,3035.4
58,2023-08-14,BTCUSDT,3508.72,2935.44
59,2023-08-13,BTCUSDT,3430.37,2829.58
60,2023-08-12,BTCUSDT,3424.67,2778.53
61,2023-08-11,BTCUSDT,3330.79,2780.13
62,2023-08-10,BTCUSDT,4382.29,3300.97
63,2023-08-09,BTCUSDT,4203.37,3117.59
64,2023-08-08,BTCUSDT,3928.44,3084.4
65,2023-08-07,BTCUSDT,3644.58,2788.59
66,2023-08-06,BTCUSDT,3693.29,3169.73
67,2023-08-05,BTCUSDT,3659.54,3116.94
68,2023-08-04,BTCUSDT,3666.48,2984.04
69,2023-08-03,BTCUSDT,3501.77,2579.08
70,2023-08-02,BTCUSDT,3317.89,2423.52
71,2023-08-01,BTCUSDT,2930.94,2332.65
72,2023-07-31,BTCUSDT,2664.05,2275.85
73,2023-07-30,BTCUSDT,2572.9,2140.57
74,2023-07-29,BTCUSDT,2475.5,2126.27
75,2023-07-28,BTCUSDT,2392.03,2080.44
76,2023-07-27,BTCUSDT,4035.46,3113.11
77,2023-07-26,BTCUSDT,3729.09,2895.13
78,2023-07-25,BTCUSDT,3484.69,2829.64
79,2023-07-24,BTCUSDT,3232.34,2651.88
80,2023-07-23,BTCUSDT,2965.06,2576.51
81,2023-07-22,BTCUSDT,2849.2,2531.25
82,2023-07-21,BTCUSDT,2754.54,2435.25
83,2023-07-20,BTCUSDT,3537.44,2975.7
84,2023-07-19,BTCUSDT,3395.28,2924.77
85,2023-07-18,BTCUSDT,3247.74,2823.3
86,2023-07-17,BTCUSDT,3277.6,3159.55
87,2023-07-16,BTCUSDT,2900.87,2698.14
88,2023-07-15,BTCUSDT,3071.62,2837.25
89,2023-07-14,BTCUSDT,4338.82,3542.75
90,2023-07-13,BTCUSDT,4062.43,3044.0
91,2023-07-12,BTCUSDT,3563.6,2492.81
92,2023-07-11,BTCUSDT,3592.09,2552.71
93,2023-07-10,BTCUSDT,3402.32,2417.94
94,2023-07-09,BTCUSDT,3338.89,2318.19
95,2023-07-08,BTCUSDT,3268.56,2243.11
96,2023-07-07,BTCUSDT,3231.13,3212.18
97,2023-07-06,BTCUSDT,2625.47,3008.85
98,2023-07-05,BTCUSDT,2654.39,2951.72
99,2023-07-04,BTCUSDT,2642.22,2860.19
100,2023-07-03,BTCUSDT,2630.62,2694.91
101,2023-07-02,BTCUSDT,2430.48,2299.01
102,2023-07-01,BTCUSDT,2426.15,2285.78
103,2023-06-30,BTCUSDT,4181.95,4404.94
104,2023-06-29,BTCUSDT,3921.9,4179.9
105,2023-06-28,BTCUSDT,3812.44,3996.43
106,2023-06-27,BTCUSDT,3628.72,3771.84
107,2023-06-26,BTCUSDT,3393.37,3443.59
108,2023-06-25,BTCUSDT,3547.21,3505.6
109,2023-06-24,BTCUSDT,3590.12,3727.43
110,2023-06-23,BTCUSDT,4314.03,4132.28
111,2023-06-22,BTCUSDT,4257.99,4002.67
112,2023-06-21,BTCUSDT,4092.24,3981.53
113,2023-06-20,BTCUSDT,3999.2,3189.04
114,2023-06-19,BTCUSDT,3877.79,2834.4
115,2023-06-18,BTCUSDT,3624.27,2789.18
116,2023-06-17,BTCUSDT,3756.38,2927.92
117,2023-06-16,BTCUSDT,4274.6,3453.39
118,2023-06-15,BTCUSDT,3992.47,3236.73
119,2023-06-14,BTCUSDT,4151.76,3447.69
120,2023-06-13,BTCUSDT,3977.75,3364.17
121,2023-06-12,BTCUSDT,3875.37,3500.87
122,2023-06-11,BTCUSDT,3737.71,3553.42
123,2023-06-10,BTCUSDT,3683.4,3458.99
124,2023-06-09,BTCUSDT,3431.98,2880.91
125,2023-06-08,BTCUSDT,4476.85,3936.63
126,2023-06-07,BTCUSDT,4528.06,4019.35
127,2023-06-06,BTCUSDT,3904.12,3157.79
128,2023-06-05,BTCUSDT,3582.74,2834.87
129,2023-06-04,BTCUSDT,3544.83,2835.82
130,2023-06-03,BTCUSDT,3655.42,2936.5
131,2023-06-02,BTCUSDT,4458.26,3434.9
132,2023-06-01,BTCUSDT,4318.25,3337.85
133,2023-05-31,BTCUSDT,3898.68,3000.07
134,2023-05-30,BTCUSDT,3805.65,3175.23
135,2023-05-29,BTCUSDT,3524.11,2842.4
136,2023-05-28,BTCUSDT,3262.95,2341.7
137,2023-05-27,BTCUSDT,3228.66,2483.42
138,2023-05-26,BTCUSDT,5195.9,4186.25
139,2023-05-25,BTCUSDT,4981.56,4043.38
140,2023-05-24,BTCUSDT,4793.53,3859.0
141,2023-05-23,BTCUSDT,4489.61,3529.44
142,2023-05-22,BTCUSDT,4342.56,3298.27
143,2023-05-21,BTCUSDT,3883.49,2725.18
144,2023-05-20,BTCUSDT,3740.5,2498.81
145,2023-05-19,BTCUSDT,3640.26,2345.53
146,2023-05-18,BTCUSDT,4373.28,3053.06
